Phage_cluster_8752	virion structural protein
Phage_cluster_7039	tail protein
Phage_cluster_7330	tail protein/endopeptidase
Phage_cluster_8006	phage virion structural protein
gi_115334630_ref_YP_764476.1_	phage major capsid protein
gi_117530262_ref_YP_851105.1_	putative phage tail sheath protein
gi_118197623_ref_YP_874016.1_	portal protein
gi_118197689_ref_YP_874082.1_	tail sheath protein
gi_11863102_ref_NP_071819.1_	putative portal protein
gi_11863113_ref_NP_071830.1_	putative tail protein
gi_126010850_ref_YP_001039815.1_	putative phage terminase large subunit
gi_126010870_ref_YP_001039840.1_	putative tail tube protein
gi_126010913_ref_YP_001039839.1_	major tail sheath protein
gi_126010914_ref_YP_001039831.1_	phage tail protein I
gi_13449258_ref_NP_085472.1_	coat protein
gi_148750840_ref_YP_001285883.1_	major capsid protein gp34
gi_15320614_ref_NP_203458.1_	terminase
gi_15320619_ref_NP_203463.1_	major virion structural protein
gi_15320626_ref_NP_203470.1_	virion structural protein
gi_15320627_ref_NP_203471.1_	virion structural protein
gi_155042936_ref_YP_001425603.1_	phage capsid protein
gi_156564064_ref_YP_001429807.1_	major virion structural protein
gi_156564094_ref_YP_001429603.1_	virion structural protein
gi_156564095_ref_YP_001429604.1_	virion structural protein
gi_156564097_ref_YP_001429606.1_	virion structural protein
gi_156564100_ref_YP_001429609.1_	candidate for curly fiber subunit based on high copy number in virion
gi_156564105_ref_YP_001429615.1_	major virion structural protein
gi_156564108_ref_YP_001429618.1_	virion structural protein
gi_156564110_ref_YP_001429620.1_	major virion structural protein
gi_156564111_ref_YP_001429621.1_	virion structural protein
gi_156564112_ref_YP_001429622.1_	major virion structural protein
gi_156564113_ref_YP_001429623.1_	virion structural protein
gi_156564115_ref_YP_001429625.1_	virion structural protein
gi_156564116_ref_YP_001429626.1_	virion structural protein
gi_156564117_ref_YP_001429627.1_	virion structural protein
gi_156564118_ref_YP_001429628.1_	tail sheath paralog
gi_156564119_ref_YP_001429629.1_	virion structural protein
gi_156564120_ref_YP_001429630.1_	tail sheath subunit
gi_156564122_ref_YP_001429632.1_	virion structural protein
gi_156564123_ref_YP_001429633.1_	virion structural protein
gi_156564126_ref_YP_001429636.1_	virion structural protein
gi_156564134_ref_YP_001429644.1_	virion structural protein
gi_156564137_ref_YP_001429647.1_	virion structural protein
gi_156564138_ref_YP_001429648.1_	virion structural protein
gi_156564142_ref_YP_001429652.1_	virion structural protein
gi_156564145_ref_YP_001429655.1_	virion structural protein
gi_156564146_ref_YP_001429656.1_	virion structural protein
gi_156564147_ref_YP_001429657.1_	virion structural protein
gi_156564148_ref_YP_001429658.1_	virion structural protein
gi_156564149_ref_YP_001429659.1_	virion structural protein
