Phage_cluster_7	intein-containing putative terminase large subunit precursor
gi_371671476_ref_YP_004958014.1_	putative virion structural protein
gi_371671477_ref_YP_004958015.1_	putative virion structural protein
gi_371671478_ref_YP_004958016.1_	putative virion structural protein
gi_371671482_ref_YP_004958020.1_	putative virion structural protein
gi_371671487_ref_YP_004958025.1_	putative virion structural protein
gi_371671493_ref_YP_004958031.1_	putative major capsid protein
gi_371671501_ref_YP_004958039.1_	putative portal protein
gi_371671510_ref_YP_004958048.1_	putative virion structural protein
gi_371671511_ref_YP_004958049.1_	putative virion structural protein
gi_371671631_ref_YP_004958169.1_	putative virion structural protein
gi_371671634_ref_YP_004958172.1_	putative virion structural protein
gi_371671643_ref_YP_004958181.1_	putative virion structural protein
gi_371671644_ref_YP_004958182.1_	putative virion structural protein
gi_371671649_ref_YP_004958187.1_	putative virion structural protein
gi_371671650_ref_YP_004958188.1_	putative virion structural protein
gi_372449810_ref_YP_005087034.1_	putative tail protein
gi_372449827_ref_YP_005087050.1_	putative main capsid protein
gi_374531291_ref_YP_005098074.1_	putative coat protein
gi_387935460_ref_YP_006299972.1_	virion protein
gi_388542681_ref_YP_006299886.1_	virion protein
gi_388542682_ref_YP_006299887.1_	virion protein
gi_392972787_ref_YP_006488746.1_	phage tail protein
gi_392973272_ref_YP_006489229.1_	tail protein
gi_399528328_ref_YP_006560251.1_	phage major tail protein
gi_399528549_ref_YP_006560471.1_	putative major capsid protein
gi_399528551_ref_YP_006560473.1_	putative tail protein
gi_399528554_ref_YP_006560476.1_	putative major tail protein
gi_410490666_ref_YP_006905888.1_	tail protein
gi_414090446_ref_YP_006990559.1_	major capsid protein
gi_418487152_ref_YP_007001500.1_	T4-like baseplate tail tube cap protein
gi_418488938_ref_YP_007002851.1_	coat protein
